emb_size,val_loss
1,0.35927832317352293
2,0.2044552772641182
3,0.12953354902565478
4,0.10264763090014457
5,0.04276737155765295
6,0.0027211909028701485
7,0.0028029495649971067
8,0.0024187527620233595
